query_name	consensus
C1/C1_split0.sparql	201
C1/C1_split1.sparql	201
C1/C1_split10.sparql	201
C1/C1_split11.sparql	201
C1/C1_split12.sparql	201
C1/C1_split13.sparql	201
C1/C1_split14.sparql	201
C1/C1_split15.sparql	201
C1/C1_split16.sparql	201
C1/C1_split17.sparql	201
C1/C1_split18.sparql	201
C1/C1_split19.sparql	201
C1/C1_split2.sparql	201
C1/C1_split3.sparql	201
C1/C1_split4.sparql	201
C1/C1_split5.sparql	201
C1/C1_split6.sparql	201
C1/C1_split7.sparql	201
C1/C1_split8.sparql	201
C1/C1_split9.sparql	201
C2/C2_split1.sparql	22
C2/C2_split15.sparql	22
C2/C2_split16.sparql	22
C2/C2_split18.sparql	22
C2/C2_split5.sparql	22
F1/F1_split0.sparql	19
F1/F1_split1.sparql	32
F1/F1_split10.sparql	9
F1/F1_split11.sparql	2
F1/F1_split12.sparql	0
F1/F1_split13.sparql	0
F1/F1_split14.sparql	32
F1/F1_split15.sparql	26
F1/F1_split16.sparql	19
F1/F1_split17.sparql	20
F1/F1_split18.sparql	0
F1/F1_split19.sparql	22
F1/F1_split2.sparql	0
F1/F1_split3.sparql	10
F1/F1_split4.sparql	26
F1/F1_split5.sparql	48
F1/F1_split6.sparql	17
F1/F1_split7.sparql	26
F1/F1_split8.sparql	0
F1/F1_split9.sparql	0
F2/F2_split0.sparql	34
F2/F2_split1.sparql	60
F2/F2_split10.sparql	152
F2/F2_split11.sparql	4
F2/F2_split12.sparql	3
F2/F2_split13.sparql	56
F2/F2_split14.sparql	113
F2/F2_split15.sparql	14
F2/F2_split16.sparql	93
F2/F2_split17.sparql	117
F2/F2_split18.sparql	103
F2/F2_split19.sparql	7
F2/F2_split2.sparql	124
F2/F2_split3.sparql	7
F2/F2_split4.sparql	75
F2/F2_split5.sparql	17
F2/F2_split6.sparql	31
F2/F2_split7.sparql	126
F2/F2_split8.sparql	118
F2/F2_split9.sparql	8
F3/F3_split0.sparql	155
F3/F3_split1.sparql	168
F3/F3_split10.sparql	102
F3/F3_split11.sparql	29
F3/F3_split12.sparql	1
F3/F3_split13.sparql	183
F3/F3_split14.sparql	138
F3/F3_split15.sparql	23
F3/F3_split16.sparql	43
F3/F3_split17.sparql	138
F3/F3_split18.sparql	249
F3/F3_split19.sparql	165
F3/F3_split2.sparql	28
F3/F3_split3.sparql	138
F3/F3_split4.sparql	89
F3/F3_split5.sparql	168
F3/F3_split6.sparql	16
F3/F3_split7.sparql	23
F3/F3_split8.sparql	19
F3/F3_split9.sparql	21
F4/F4_split0.sparql	276
F4/F4_split1.sparql	221
F4/F4_split10.sparql	273
F4/F4_split11.sparql	333
F4/F4_split12.sparql	215
F4/F4_split13.sparql	175
F4/F4_split14.sparql	299
F4/F4_split15.sparql	217
F4/F4_split16.sparql	163
F4/F4_split17.sparql	217
F4/F4_split18.sparql	154
