query_name	consensus
C1/C1_split0.sparql	1424
C1/C1_split1.sparql	1424
C1/C1_split10.sparql	1424
C1/C1_split11.sparql	1424
C1/C1_split12.sparql	1424
C1/C1_split13.sparql	1424
C1/C1_split14.sparql	1424
C1/C1_split15.sparql	1424
C1/C1_split16.sparql	1424
C1/C1_split17.sparql	1424
C1/C1_split18.sparql	1424
C1/C1_split19.sparql	1424
C1/C1_split2.sparql	1424
C1/C1_split3.sparql	1424
C1/C1_split4.sparql	1424
C1/C1_split5.sparql	1424
C1/C1_split6.sparql	1424
C1/C1_split7.sparql	1424
C1/C1_split8.sparql	1424
C1/C1_split9.sparql	1424
C2/C2_split0.sparql	342
C2/C2_split1.sparql	342
C2/C2_split10.sparql	342
C2/C2_split11.sparql	342
C2/C2_split12.sparql	342
C2/C2_split13.sparql	342
C2/C2_split14.sparql	342
C2/C2_split15.sparql	342
C2/C2_split16.sparql	342
C2/C2_split17.sparql	342
C2/C2_split18.sparql	342
C2/C2_split19.sparql	342
C2/C2_split2.sparql	342
C2/C2_split3.sparql	342
C2/C2_split4.sparql	342
C2/C2_split5.sparql	342
C2/C2_split6.sparql	342
C2/C2_split7.sparql	342
C2/C2_split8.sparql	342
C2/C2_split9.sparql	342
C3/C3_split0.sparql	42063279
C3/C3_split1.sparql	42063279
C3/C3_split10.sparql	42063279
C3/C3_split11.sparql	42063279
C3/C3_split12.sparql	42063279
C3/C3_split13.sparql	42063279
C3/C3_split14.sparql	42063279
C3/C3_split15.sparql	42063279
C3/C3_split16.sparql	42063279
C3/C3_split17.sparql	42063279
C3/C3_split18.sparql	42063279
C3/C3_split19.sparql	42063279
C3/C3_split2.sparql	42063279
C3/C3_split3.sparql	42063279
C3/C3_split4.sparql	42063279
C3/C3_split5.sparql	42063279
C3/C3_split6.sparql	42063279
C3/C3_split7.sparql	42063279
C3/C3_split8.sparql	42063279
C3/C3_split9.sparql	42063279
F1/F1_split0.sparql	251
F1/F1_split1.sparql	251
F1/F1_split10.sparql	166
F1/F1_split11.sparql	81
F1/F1_split12.sparql	12
F1/F1_split13.sparql	371
F1/F1_split14.sparql	244
F1/F1_split15.sparql	3
F1/F1_split16.sparql	87
F1/F1_split17.sparql	488
F1/F1_split18.sparql	3
F1/F1_split19.sparql	371
F1/F1_split2.sparql	251
F1/F1_split3.sparql	135
F1/F1_split4.sparql	440
F1/F1_split5.sparql	325
F1/F1_split6.sparql	870
F1/F1_split7.sparql	440
F1/F1_split8.sparql	166
F1/F1_split9.sparql	12
F2/F2_split0.sparql	75
F2/F2_split1.sparql	793
F2/F2_split10.sparql	884
F2/F2_split11.sparql	399
F2/F2_split12.sparql	961
F2/F2_split13.sparql	232
F2/F2_split14.sparql	607
F2/F2_split15.sparql	607
F2/F2_split16.sparql	569
F2/F2_split17.sparql	884
F2/F2_split18.sparql	793
F2/F2_split19.sparql	30
F2/F2_split2.sparql	30
F2/F2_split3.sparql	24
F2/F2_split4.sparql	793
F2/F2_split5.sparql	1116
F2/F2_split6.sparql	565
F2/F2_split7.sparql	1141
F2/F2_split8.sparql	565
F2/F2_split9.sparql	1141
F3/F3_split0.sparql	40
F3/F3_split1.sparql	3511
F3/F3_split10.sparql	256
F3/F3_split11.sparql	3506
F3/F3_split12.sparql	1425
F3/F3_split13.sparql	3506
F3/F3_split14.sparql	3511
F3/F3_split15.sparql	1003
F3/F3_split16.sparql	665
F3/F3_split17.sparql	50
F3/F3_split18.sparql	3506
F3/F3_split19.sparql	2659
F3/F3_split2.sparql	3511
F3/F3_split3.sparql	3461
F3/F3_split4.sparql	3506
F3/F3_split5.sparql	2659
F3/F3_split6.sparql	1425
F3/F3_split7.sparql	5603
F3/F3_split8.sparql	3461
F3/F3_split9.sparql	13668
F4/F4_split0.sparql	2254
F4/F4_split1.sparql	58116
F4/F4_split10.sparql	2203
F4/F4_split11.sparql	2619
F4/F4_split12.sparql	3389
F4/F4_split13.sparql	3293
F4/F4_split14.sparql	2321
F4/F4_split15.sparql	58566
F4/F4_split16.sparql	5731
F4/F4_split17.sparql	2469
F4/F4_split18.sparql	3021
F4/F4_split19.sparql	2397
F4/F4_split2.sparql	2984
F4/F4_split3.sparql	2984
F4/F4_split4.sparql	58566
F4/F4_split5.sparql	2469
F4/F4_split6.sparql	58738
F4/F4_split7.sparql	2864
F4/F4_split8.sparql	5731
F4/F4_split9.sparql	2254
F5/F5_split0.sparql	37
F5/F5_split1.sparql	51
F5/F5_split10.sparql	43
F5/F5_split11.sparql	20
F5/F5_split12.sparql	28
F5/F5_split13.sparql	32
F5/F5_split14.sparql	40
F5/F5_split15.sparql	28
F5/F5_split16.sparql	40
F5/F5_split17.sparql	63
F5/F5_split18.sparql	46
F5/F5_split19.sparql	43
F5/F5_split2.sparql	45
F5/F5_split3.sparql	49
F5/F5_split4.sparql	32
F5/F5_split5.sparql	51
F5/F5_split6.sparql	32
F5/F5_split7.sparql	58
F5/F5_split8.sparql	32
F5/F5_split9.sparql	39
L1/L1_split0.sparql	7
L1/L1_split1.sparql	4
L1/L1_split10.sparql	4
L1/L1_split11.sparql	4
L1/L1_split12.sparql	7
L1/L1_split13.sparql	2
L1/L1_split14.sparql	4
L1/L1_split15.sparql	7
L1/L1_split16.sparql	1
L1/L1_split17.sparql	0
L1/L1_split18.sparql	0
L1/L1_split19.sparql	7
L1/L1_split2.sparql	7
L1/L1_split3.sparql	1
L1/L1_split4.sparql	4
L1/L1_split5.sparql	4
L1/L1_split6.sparql	7
L1/L1_split7.sparql	3
